title,company,job_desc,Keywords,Competitiveness,salary,location,date_posted,url
Jr Robotics Engineer,Plus,"Responsibilities

Investigate mechanical failures or unexpected maintenance problems
Evaluate key performance metrics, such as, latency, memory and quality
Measure the performance of Robotics systems accurately and quantitatively.
Resolve technical issues through debugging, research and investigation over the life cycle of product development and implementation stages.

Qualifications

BS or MS in Computer Science, Electrical Engineering, or other related field
experience designing, building, and deploying robots
Familiarity using Python, C++, or ROS for practical applications

Perks

Work on industry-leading technologies at an energetic, exciting Silicon Valley startup
Forge the future of autonomous transportation while collaborating with AI experts from around the world
Catered free lunch, unlimited snacks and beverages
Competitive salary and outstanding benefits package","Robotics, Python, C++, ROS",Medium,,"Cupertino, CA",Posted1 day ago,https://www.indeed.com/rc/clk?jk=91b7e321a14f022a&fccid=aca0bac013100c13&vjs=3
"Clinical Engineer, Surgical Robotics",Johnson & Johnson Family of Companies,"Ethicon’s Robotic & Digital Solutions business is recruiting for a Clinical Engineer, located Santa Clara, CA!
Johnson & Johnson Medical Devices is focused on shaping the future of digital surgery and expanding its robotics and digital solutions offerings across the entire portfolio, with multi-specialty, end-to-end solutions in orthopedics, endoluminal intervention and general surgery. This includes the MONARCH® platform, a first-of-its-kind robotic technology indicated for bronchoscopic visualization of and access to patient airways for diagnostic and therapeutic procedures in the lung.
Ethicon, part of Johnson & Johnson Medical Devices Companies, has made significant contributions to surgery for more than 100 years from creating the first sutures, to revolutionizing surgery with minimally invasive procedures. Our continuing dedication to Shape the Future of Surgery is built on our commitment to help address the world's most pressing health care issues and improve and save more lives. Through Ethicon's surgical technologies and solutions including sutures, staplers, energy devices, trocars and hemostats and our commitment to treat serious medical conditions like obesity worldwide, we deliver innovation to make a life-changing impact. For more information, visit www.ethicon.com.
Clinical Engineers at RAD work closely with physicians, clinicians, engineers, and collaborate across quality, regulatory, and marketing. We work in the field with top physicians, understanding their needs, issues and challenges. We also work with internal engineering development teams as the active Voice of the Surgeon to help drive the surgeon and patient experience of the devices we design.
Clinical Engineering is a key ""connection"" between engineering/product development, and physicians and clinicians who perform the procedures and the workflow in the OR. As a member of the Clinical Innovation team, the Clinical Engineer works with several multi-functional teams to represent the needs of patients and clinicians throughout the design and development of new products. This individual will lead pre-clinical activities to drive product development towards a clinically impactful design. This role is influential to overall product strategy and the product's ability to positively impact patient and physician lives!
Your primary responsibilities will include, but are not limited to:
Serve as a liaison between clinicians and design teams
Collaborate with development teams to define and validate clinical requirements for products
Apply engineering methodologies and in-depth understanding of technical design, to solve clinical challenges
Conduct pre-clinical evaluation of new product prototypes
Analyze user feedback and provide clinical guidance to engineering teams to ensure product meets clinical safety and user needs
Apply knowledge of surgical procedures to establish models and experimental techniques to evaluate clinical performance
Work with product management to identify unmet clinical needs and define new solutions
Understand current state of end-user and patient environment
Assess clinical hazards and contribute to use-related risk analysis
Write protocols, conduct formal testing, and report results of validation and other studies
Collect feedback and insight about standard of care techniques and competitive products being used in the market
Attend key scientific conferences and engage clinicians to stay abreast of the latest methods and knowledge in surgery
This position operates in a professional office environment.
This role routinely uses standard office equipment such as computers, phones, and photocopiers. While performing the duties of this job, the employee is regularly required to talk or hear.
The employee frequently is required to stand, walk; use hands to finger, handle or feel; and reach with hands and arms.
This is a full-time position.
Days and hours of work are flexible Monday through Friday, generally 8:30 a.m. to 5:30 p.m. Occasional evening and weekend work may be required as job duties demand.
Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

Qualifications
Required:
Bachelor’s degree in Engineering or Applied Science
2 years’ experience in a medical technology company
Must have a consistent track record of effectively and clearly communicating concepts, ideas and knowledge to other individuals and teams
Experience with medical devices in a pre-clinical setting
Must have strong analytical and problem-solving skills
Strong understanding of the product development process, and design controls including document control processes, document approval processes, study archiving, data collection and phase/design reviews
Experience working with teams across multiple engineering fields, including mechanical, software, electrical, and visual/industrial design
Ability to travel up to 20%, internationally and domestic
Ability to work at the Santa Clara, CA site
Ability to work in a regulated environment in compliance to ISO 13485 and 21 CFR 820
Preferred:
Advanced Degree MS, MD, or PhD
Background or experience in any of robotics, 3D kinematics, controls, or vision systems
Functional knowledge of human anatomy and physiology, basic knowledge of surgery
Experience in the regulated medical device environment
Experience in the regulated medical device environment

Primary Location
United States-California-Santa Clara-5490 Great America Pkwy
Organization
Auris Health, Inc. (6267)
Job Function
R&D
Requisition ID
2105978813W","Product Management, Robotics, Engineering",Medium,,"Santa Clara, CA 95054+3 locations",Posted30+ days ago,https://www.indeed.com/rc/clk?jk=434cdea51cfd9f6f&fccid=0bed8e17bc113980&vjs=3
"Mechanical Engineer I - 2022 Grads , Amazon Robotics",Amazon.com Services LLC,"
BS in Mechanical Engineering; expected graduation in 2022
SolidWorks or similar CAD experience with best practices for part design, advanced assemblies, complex configuration management
Hands on experience crafting simple proof-of-concept models
Thorough understanding and use of principals, theories and concepts in mechanical engineering
Strong organizational skills and the ability to work well with teams
Ability to effectively communicate concepts and write technical documents
Desire and energy to work in a fast-paced agile environment

Job summary
Are you inspired by invention? Is problem solving through teamwork in your DNA? We apply advances in robotics and software to solve real-world problems that delight our customers' experiences in ways we can't even imagine yet.
Amazon Robotics is located in the greater Boston area, the epicenter of robotics innovation. Our diverse team of engineers come from all over the world to design, test and build our dynamic fleet of robots and mechatronic systems. Having our offices, labs, test floors and factories all co-located means that we can design the hardware, write the code, test, build and watch it all come to life. This allows us to innovate quickly and on limitless ideas. Current advancements are underway in autonomous movement and mobility, artificial intelligence and machine learning, manipulation, simulation, robotic management software, predictive analytics, and much more.

Job Overview – As an Amazon Robotics mechanical engineer, you will develop innovative system architectures and module designs for our robot drive solutions. The ideal candidate has experience designing and analyzing mechanical systems, enjoys analytical problem solving and possesses practical knowledge of medium volume manufacturing methods using stamping, extrusion, casting, and injection molding. This position reports directly to the Mechanical Engineering Manager.

The Mechanical Engineer will be responsible for: - Working with an interdisciplinary team to execute product designs from concept to production including specification, design, prototyping, validation and testing

Working with the Operations, Manufacturing, Supply Chain and Quality organizations as well as vendors to ensure a smooth product launch
Writing functional specifications, design verification plans, and functional test procedures
Exhibit role model behaviors of thorough engineering analysis and cradle to grave ownership
Experience in the design of complex mechanical products and equipment
Proficiency documenting designs in accordance with ANSI Y-14.5
Experience designing and debugging tooled (cast, injection mold, forge, stamp, etc) components
Proficiency with Product Lifecycle Management PLM software and ECO’s
MS in Mechanical Engineering
Experience with DFMA software
Proficiency with SolidWorks Simulation or Ansys Finite Element Analysis tools

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","SolidWorks, CAD, Robotics",Medium,,"Westborough, MA 01581+1 location",Posted30+ days ago,https://www.indeed.com/rc/clk?jk=53072d02506783eb&fccid=fe2d21eef233e94a&vjs=3
Controls Engineer - Robotics,Dorabot Inc.,"Dorabot is a leader in the field of AI and robotics integration. We are the ones who equip industrial robots with the ability to see, move, think, and sense what’s happening with their surroundings. While our customers face historic supply chain, distribution and logistics challenges, Dorabot delivers robotic solutions that promote safety, productivity and wellness in the workplace. Join our team of talented, determined, good-natured humans from over 10 countries.The Controls Engineer role will develop customized solutions for our clients based on our current robotic platform. He/she will be working with the software engineers and mechanical engineers in developing the reliable solutions. Responsibilities include:Develop all aspects of the control system for our robotic system, including PLC and HMI programming, PC communication, Network configuration and sensor selection.Provide support to installation, modifications of the control system, including project planning (i.e., project scheduling/phasing, subcontract planning, resource planning, budget planning, commissioning planning)Develop and review the electrical drawings. Supervise the outside panel shop to fabricate electrical panels per the drawing.Conduct meetings with customers as a subject matter expert and resolve any control/electrical related issues.Provide Project Management leadership and communication to all project team members and functional managers such that the project objectives are clear, responsibilities are understood, and progress is tracked and reported.Develops, evaluates, and enhances manufacturing methods, utilizing knowledge of product design, materials and parts, fabrication processes, tooling and production equipment capabilities, assembly methods, and quality control standards.Required Qualifications: BS in Electrical Engineering or Software Engineering or related fields.5+ years in a manufacturing environment with demonstrated ability developing and implementing automation processes and equipment.Must have a very broad electrical background, including hands on experience with PLC’s/HMI programming, motion controls and associated software.Hands-on experience with electrical panel design and troubleshooting.Strong sense of ownership to the projects and be highly self-motivated.Experience working with industrial safety systems or robotic safety systems.Knowledge of industrial communication protocol, e.g. CIP, CAN, EtherCAT, etc.Preferred Qualifications: Experience in PLC ControlLogix/CompactLogix or Siemens S7Familiar with PC–based controller/interface from windows to real time multi-tasking operating system/embedded and PLC, HMI, PID servo control, linear motor, robot controller, stepper motor controller, data acquisition, vision system, low/high voltage system wiring to board level design.Experience in designing industrial control systems/electrical panel using AutoCAD or EPLAN.Experience with industrial automation systems.Knowledge and experience of controlling industrial robots and the operation of robotic cells, e.g. Yaskawa, ABB, etc.Familiar with CE and UL certifications and IEC60204.Why join Dorabot?We are a tight-knit team of globally minded visionaries that live and breathe technology.Our company is growing fast while we’re changing the world.We offer an attractive benefits package including medical, dental and vision insurance, vacation days and paid time-off, sick leave days, floating holidays, 401K.Flexible working hours.We are located in Peachtree Corners - Atlanta’s Idyllic Reprieve from the Urban Bustle.Free food and drinks in our office.Flat hierarchy structure and little bureaucracy.Lots of room to grow.Job Type: Full-timePay: From $90,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insurancePaid time offParental leaveReferral programVision insuranceSchedule:8 hour shiftMonday to FridaySupplemental Pay:Bonus payCOVID-19 considerations:Masks required in the office- Daily temperature checksAbility to commute/relocate:Peachtree Corners, GA: Reliably commute or planning to relocate before starting work (Preferred)Willingness to travel:25% (Preferred)Work Location: One location","Software Engineering, PLC Programming, HMI Programming,",Very High,"From $90,000 a year","Peachtree Corners, GA 30071+2 locations",EmployerActive 3 days ago,https://www.indeed.com/company/Dorabot-Inc./jobs/Control-Engineer-babcebcedaecddc1?fccid=a7a8cf8af8b74072&vjs=3
"Robotics Software Engineer, Robot Controls Team",Realtime Robotics,"Robotics Software Engineer, Robot Controls Team
About Realtime
We're empowering companies to seamlessly test and deploy robots without specialists. Our collision-free motion planning solutions make it possible for robots to instantly react to their environments and compute how and where to move as their situation is changing. We are searching for a Robotics Engineer to work on our interface to industrial robots to allow users to better plan, observe, and build their robot workcells. This person will play a vital role on the team and will help to revolutionize the industrial robotics industry.
Responsibilities
Reporting to the Manager of Robot Science, the Robotics Software Engineer will leverage and apply their technical and theoretical knowledge to extend our core technology capabilities. This role will solve difficult challenges for autonomous robotic systems, develop software that communicates with industrial robots and other devices, performs high-dimensional planning, and robust motor control.
In this position, you will:
Develop, maintain and extend software architecture, optimization and control algorithms for our robotics products
Work in a cross functional team consisting of software developers, test engineers, UX designers and product managers to discover, invent, and build things that have meaningful real-world impact
Assist customers with solving real-world automation challenges with our technology
Attend stand up meetings, perform code reviews, create software design documentation, and write code
Required qualifications:
C++/Python fluency or very strong track record of becoming competent in a variety of programming languages
Proficient with robotics fundamentals (linear algebra, kinematics, dynamics, etc.)
Familiarity with network communication (TCP, UDP, socket programming, etc.)
Self-driven, and solve challenging technical problems
Superior communication skills, both verbally and in writing
Ability to excel in international and collaborative teams
Ability to work in-office with flexible scheduling (~50% in-office)
BS or MS in Computer Science, Electrical or Mechanical Engineering or related disciplines is required
Preferred:
Experience with open-source libraries and tools such as Boost, Eigen, ROS/ROS
Comfortable developing in Linux environment
Desire to work in a fast-paced startup environment
Expertise with robot systems or industrial automation
Experience programming with distributed systems, embedded devices, and reading the documentation/standards for these environments
Key personality traits:
A goal-oriented, highly motivated person that has a strong work ethic and commitment to customer satisfaction. The candidate should have a friendly, helpful personality and can communicate effectively in an interdisciplinary team.
Apply
If you are passionate about what we do, then send your resume and an optional cover letter to careers@rtr.ai.
Realtime Robotics, Inc. located at 27 Wormwood St Ste 110, Boston, MA 02210 is an equal opportunity employer. All candidates must be legally authorized to work in the United States now and in the future.
Vaccinations
Our number one priority is the health and safety of our employees, their families, our communities, partners and customers. In order to promote that safety and well-being, we require that all employees be fully vaccinated against COVID-19 by their start date. Applicants who receive an offer of employment who can provide documentation that the vaccine is medically contraindicated, or who object to vaccination due to a sincerely held religious belief, may make a request for exemption. We will consider requests for reasonable accommodations consistent with our policy, and where we are able to provide such accommodations without undue hardship to the company.","C++, Python, TCP/UDP, Socket Programming",,,"Boston, MA 02210 (South Boston area)+1 location",Posted11 days ago,https://www.indeed.com/rc/clk?jk=3e5f5085c66d4d75&fccid=571921b3864f942c&vjs=3
Robotics Engineer,RITE HITE CORPORATION,"Company Description:Rite-Hite is the global leader in the manufacture and distribution of industrial loading dock and door equipment. Our innovative products and world class sales organization ensure solid, consistent growth, both for our company and our staff. We are always looking ahead to develop innovative new products and services to improve our customers' safety, security, and productivity. To continue our growth, we have an excellent opportunity for a Robotics Engineer at our manufacturing facility in Horn Lake, MSJob Description:Robotics support such as programming of industrial robots, robots and PLC interface, electrical schematics design and trouble shootings, PLC controls, for automated equipment’s in Assembly/Welding and machining.ESSENTIAL DUTIES AND RESPONSIBILITIESExpert programming and maintenance knowledge of Fanuc Robots.Maintain automation in Assembly, Machining and Welding area are working efficiently.Makes programming changes on automated & manual equipment’s to improve uptime, improve recovery, reduce scrap, increase throughput.Maintain databases in visual basic (VB) languages, data collection, good understanding of networking and data collection.Manage automation changes driven by customer needs or product design changes.Troubleshoots equipment problems in Fanuc robots, PLC logics of Allen Bradley make.Works with production supervisors, engineers and technicians responsible for supporting the hub assembly, rotor assembly, machine shop and foundry areasLANGUAGE SKILLSAbility to read, analyze, and interpret common scientific and technical journals, financial reports, and legal documents. Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community. Ability to write speeches and articles for publication that conform to prescribed style and format. Ability to effectively present information to top management, public groups, and/or boards of directors.MATHEMATICAL SKILLSAbility to apply advanced mathematical concepts such as exponents, logarithms, quadratic equations, and permutations. Ability to apply mathematical operations to such tasks as frequency distribution, determination of test reliability and validity, analysis of variance, correlation techniques, sampling theory, and factor analysis.REASONING ABILITYAbility to apply principles of logical or scientific thinking to a wide range of intellectual and practical problems. Ability to deal with nonverbal symbolism (formulas, scientific equations, graphs, etc.,) in its most difficult phases. Ability to deal with a variety of abstract and concrete variables.PHYSICAL DEMANDSWhile performing the duties of this job, the employee is frequently required to walk. The employee is occasionally required to stand; sit; and use hands to finger, handle, or feel. The employee must occasionally lift and/or move up to 10 pounds.WORK ENVIRONMENTThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.While performing the duties of this job, the employee is occasionally exposed to moving mechanical parts and fumes or airborne particles. The noise level in the work environment ranges from moderate to loud.Required Experience:Bachelor’s Degree in Industrial Automation, Electrical, Electronics, Robotics, Controls, or similar engineering degree.Hands on Programming experience of Fanuc and Motto man robots (certification preferred).Hands on PLC and Ladder experienceAbility to solve practical problems, able to use structured problem solving like 5-Why, A3, 9-step and Six Sigma etc.Qualifications and Competencies:Ability to define problems, collect data, establish facts, and draw valid conclusions.Ability to troubleshoot equipment related issues and determine short term and long term solutions.Strong PLC, Robotics, Industrial Programming, Networking, Data Collection and Controls skills.Industrial Robotics – Fanuc and Motto man.Understand fundamental of automations and critical elements such as Light Curtains, Sensors, PLC programs and Logics etc.We Offer:In return for your skills and hard work, Rite-Hite offers competitive pay with annual merit reviews, a comprehensive benefits program (medical, dental, vision, disability and life coverage), and a retirement program with 401(K) including a company match, and profit sharing. We also provide excellent training and ample opportunity for advancement.Rite-Hite is an Equal Opportunity/Affirmative Action employer offering a drug free workplace for our customers and employees.Job Type: Full-timePay: $79,885.00 - $119,827.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programEmployee discountFlexible scheduleFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveReferral programRelocation assistanceRetirement planTuition reimbursementVision insuranceSchedule:8 hour shiftAbility to commute/relocate:Horn Lake, MS 38637: Reliably commute or planning to relocate before starting work (Preferred)Work Location: One location","Robotics, CAD",Medium,"$79,885 - $119,827 a year","Horn Lake, MS 38637",EmployerActive 13 days ago,https://www.indeed.com/company/RITE-HITE-CORPORATION/jobs/Robotic-Engineer-500b7b77b5a6c8b6?fccid=993017c3aa4903a4&vjs=3
"Robotics Engineer, Fremont Factory",Tesla,"The Robotics Engineer, will have extensive theoretical and hands-on experience in all facets of robotic applications used in Manufacturing, as well as experience managing new product introductions, equipment projects (new installations) and process optimization, upgrades & modifications. Experience with multiple robot brands is desired.
Responsibilities:
Responsibility for designing/selecting robotic systems.
Creating simulations and offline programs with Process Simulate.
Responsible for continuous process optimization.
Advanced robot programming including DCS, Kuka Safe.
Develop custom robot application code to interface with new technologies.
Support maintenance team in troubleshooting difficult breakdowns and chronic equipment failures.
Project management: both internal maintenance projects, and major contractor projects.
Develop procedures and maintain proper documentation related to robotics systems.
Requirements:
BS in mechatronics engineering or equivalent experience.
5+ years extensive experience Robotic programming and applications.
Excellent robotic high level and back ground programming skills on Fanuc, KUKA, ABB or equivalent brands.
Hands on experience commissioning and programming industrial robots
Robotic mechanical and electrical trouble shooting skills.
Experience with Robot simulation packages as well as off-line programing using Robcad, Delmia 3DX or Process Simulate (preferred).
Virtual commissioning experience of a robotics system is a plus.
Knowledge on programming languages such as Python, Java, C, C++, HTML, ROS
Experience on robotics applications such as Spot Weld, Stud Weld, Adhesive, Self Piercing Rivet, Vision, Arc Weld, Roll hemming.
Experience on Automotive industries is a plus.
Good overall people management skills.
Proficient in CAD.
PLC programming knowledge is a plus.","Mechatronics, Robotic programming, Robotic mechanical and electrical trouble shooting, Robotic Simulation, C, C++, Python, Java, ROS, HTML, CAD",Very High,,"Fremont, CA+2 locations",Posted7 days ago,https://www.indeed.com/rc/clk?jk=afd8f20ba8a531b7&fccid=86e9be6ce380173e&vjs=3
Robotics Engineer,Ultradent,"Ultradent, a global name in oral healthcare, we are looking for a Robotics Engineer . As a Robotics Engineer you will help design and code real-time control systems that will be executed on robots interacting with humans. You will leverage sensor fusion to give situational awareness to robotic systems. You will have opportunities to interact with engineers, clinicians, dentists and patients to create a system that will make a positive impact in the dental industry.
Job Duties:
Design and implement control algorithms for robots interacting with humans
Test and debug your designs on robotic systems
Interact with a team of like-minded engineers to achieve design objectives
Create and maintain code bases
What we're looking for in you:
Proficiency in MATLAB and C++
Knowledge of multibody dynamics, trajectory planning, and torque control
Strong analytical and debug skills
Familiarity with programming in Linux
4-6 years experience with Bachelors degree
2-4 years experience with masters degree
Bachelor’s or Master’s degree in engineering, specializing in robotics
Ultradent is an Equal Opportunity and Affirmative Action Employer. We are a global culture where differences are sought after, welcomed, and embraced. All qualified applicants will receive consideration for employment without regards to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.


VEVRAA Federal Contractor: For more information please contact us at Recruiting@ultradent.com .


PWDNET","Robotics, Matlab, C++, Linux",High,,"Salt Lake City, UT",Posted2 days ago,https://www.indeed.com/rc/clk?jk=2f57e98d8ee71398&fccid=0a45d629f7af81fc&vjs=3
Robotics Research Engineer,Vicarious,"Union City, California
Vicarious aims to transform robotics by creating robots with human level performance on real-world manipulation tasks. We are passionate about changing the world with science and software, and we are looking for exceptional people to join us in that mission. As a robotics research engineer here, you will be involved in designing and implementing the future of robotics alongside other world-class software engineers and researchers.
Responsibilities
Understanding the latest advances in robotics and AI and applying them to our problems.
Developing and implementing new techniques for robotic manipulation, motion planning, control, and learning.
Helping to architect and build a powerful, flexible, and well-engineered software platform that can be used for variety of robotics tasks.
We offer the opportunity to take ownership of cutting edge problems and to work with the latest tools and technologies. We encourage a culture of learning and innovation. There are journal clubs on various topics (Machine Learning, Robotics, Software Engineering) and a budget for professional development. The hours are flexible, and we have a generous work-from-home policy.
Background/Experience
A bachelors degree in a robotics-related field (including computer science, engineering, applied math/physics) is required.
Ideal candidates will also have multiple of:
Strong programming skills in Python/C++.
Strong mathematical background and familiarity with modern machine learning/AI.
Ability to rapidly implement and iterate on ideas.
Significant open source contributions.
Desired personal qualities:
Integrity
Ability to admit when wrong
Altruism
Rigorous and empirical approach to decision making
Fast learner, unfazed by complex systems and difficult problems.
Patience with others
Described by others as the best engineer / researcher they know
Tenaciousness and ability to get things done
Sense of humor
Vicarious is proud to be an equal opportunity employer. We’re committed to fair hiring practices and a welcoming working environment. All candidates are considered for employment without regard to race, religion, ethnicity, age, gender, sexual identity or expression, medical condition, or socioeconomic status. We value our differences and we’re excited to learn what you can add to our team.","Robotics, Python, C++, ML, AI",Medium,,"Union City, CA 94587+3 locations",Posted30+ days ago,https://www.indeed.com/rc/clk?jk=63f1ab1789a1fe35&fccid=df9fefa1627b6c86&vjs=3
Senior Software Verification Engineer - Surgical Robotics,Medtronic,"Careers that Change Lives
You will join a team of mechanical, electrical and software engineers responsible for developing Medtronic’s Robotic Assisted Surgery platform through commercial launch and production scale-up.
Impact patient outcomes. Come for a job, stay for a career
Surgical Robotics strive to enable earlier diagnosis, better treatment, faster complication-free recovery, and enhanced patient outcomes through less invasive surgical solutions.
SURGICAL INNOVATIONS set the standard for Minimally Invasive Surgery (MIS) by creating innovative surgical products and services that focus on obesity and diseases and conditions of the gastrointestinal tract, lung, abdominal wall, pelvic region, and the head and neck.
Careers that Change Lives
You will join a team of mechanical, electrical and software engineers responsible for developing Medtronic’s Robotic Assisted Surgery platform through commercial launch and production scale-up.
Impact patient outcomes. Come for a job, stay for a career
Surgical Robotics strive to enable earlier diagnosis, better treatment, faster complication-free recovery, and enhanced patient outcomes through less invasive surgical solutions.
SURGICAL INNOVATIONS set the standard for Minimally Invasive Surgery (MIS) by creating innovative surgical products and services that focus on obesity and diseases and conditions of the gastrointestinal tract, lung, abdominal wall, pelvic region, and the head and neck.
A Day in the Life:
As a Sr. Software Verification Engineer you will use your broad understanding of software verification techniques for medical or other regulated systems. You will utilize your proficiency in C++, operating systems, and electro-mechanical devices.
You will:
Determine and execute on creating tests approaches which mock interfaces, inject failures and verify requirements at a variety of software integration levels.
Be an integral part of a team launching a first-generation surgical robotics platform.
You will work closely with other senior technical team members, particularly in software, to ensure that system software requirements/designs meet overall system requirements.
Must Have:
Bachelor’s degree required
Minimum of 4 years of experience, or advanced degree with a minimum of 2 years experience
Nice to Have:
Experience with Medical Product verification and FDA guidance.
Thorough understanding of creating test protocols for verifying software requirements.
Ability to create test automation infrastructure, and plan for automated regression testing.
Experience testing complex medical devices controlled by software.
Experience in developing automation scripts to facilitate testing of GUI
Ability to work with QA to ensure testing meets Quality and Regulatory needs.
Ability to manage, track and upgrade multiple hardware and software configurations.
Ability to work with Systems, Mechanical, Electrical and Software engineers when discovering, documenting, and resolving integration issues.
About Medtronic:
Together, we can change healthcare worldwide. At Medtronic, we push the limits of what technology, therapies and services can do to help alleviate pain, restore health and extend life. We challenge ourselves and each other to make tomorrow better than yesterday. It is what makes this an exciting and rewarding place to be. We want to accelerate and advance our ability to create meaningful innovations - but we will only succeed with the right people on our team. Let’s work together to address universal healthcare needs and improve patients’ lives. Help us shape the future.
Physical Job Requirements:
The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position. The physical demands described within the Day in the Life section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
EEO:
It is the policy of Medtronic to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Medtronic will provide reasonable accommodations for qualified individuals with disabilities. This employer participates in the federal E-Verify program to confirm the identity and employment authorization of all newly hired employees. For further information about the E-Verify program, please click here: http://www.uscis.gov/e-verify/employees","C++, OS, GUI",High,,"Boston, MA+6 locations",Posted30+ days ago,https://www.indeed.com/rc/clk?jk=e89d6aaa0c393e7b&fccid=f06a4d05bf5510ec&vjs=3
